country,ISO3C,imfcode,year,flow,USD,EUR,Home,Other,Unclassified,Other_Excl_USDEUR
Germany,DEU,134,2017,Import,20.022689819335938,77.56938171386719,0.0,2.407928466796875,0.0,2.407928466796875
Germany,DEU,134,2018,Export,17.30506134033203,76.62346649169922,0.0,6.07147216796875,0.0,6.07147216796875
Germany,DEU,134,2018,Import,20.0512752532959,77.68769073486328,0.0,2.2610340118408203,0.0,2.2610340118408203
Germany,DEU,134,2019,Export,17.738208770751953,75.92523193359375,0.0,6.336559295654297,0.0,6.336559295654297
Germany,DEU,134,2019,Import,20.15010643005371,77.3702163696289,0.0,2.479677200317383,0.0,2.479677200317383
Ghana,GHA,652,2017,Export,91.9,8.0,0.0,0.09999999999999432,0.0,0.10000000149011612
Ghana,GHA,652,2017,Import,88.2,8.1,0.0,3.700000000000003,0.0,3.700000047683716
Ghana,GHA,652,2018,Export,91.9,6.7,0.0,1.3999999999999915,0.0,1.399999976158142
Ghana,GHA,652,2018,Import,88.13,8.16,0.01,3.700000000000003,0.0,3.7100000381469727
Ghana,GHA,652,2019,Export,93.2,5.54,0.02,1.2399999999999949,0.0,1.2599999904632568
Ghana,GHA,652,2019,Import,89.48,7.86,0.04,2.6199999999999903,0.0,2.6600000858306885
Greece,GRC,174,2001,Export,49.099998474121094,43.29999923706055,0.0,7.600002288818359,0.0,7.600002288818359
Greece,GRC,174,2001,Import,32.400001525878906,62.5,0.0,5.099998474121094,0.0,5.099998474121094
Greece,GRC,174,2002,Export,36.099998474121094,58.79999923706055,0.0,5.100002288818359,0.0,5.100002288818359
Greece,GRC,174,2002,Import,29.600000381469727,66.9000015258789,0.0,3.499998092651367,0.0,3.499998092651367
Greece,GRC,174,2003,Export,32.099998474121094,63.900001525878906,0.0,4.0,0.0,4.0
Greece,GRC,174,2003,Import,28.5,69.0999984741211,0.0,2.4000015258789062,0.0,2.4000015258789062
Greece,GRC,174,2004,Export,38.5,58.400001525878906,0.0,3.0999984741210938,0.0,3.0999984741210938
Greece,GRC,174,2004,Import,30.799999237060547,67.0999984741211,0.0,2.1000022888183594,0.0,2.1000022888183594
Greece,GRC,174,2005,Export,44.20000076293945,53.29999923706055,0.0,2.5,0.0,2.5
Greece,GRC,174,2005,Import,38.70000076293945,59.599998474121094,0.0,1.7000007629394531,0.0,1.7000007629394531
Greece,GRC,174,2006,Export,43.900001525878906,53.29999923706055,0.0,2.799999237060547,0.0,2.799999237060547
Greece,GRC,174,2006,Import,42.20000076293945,56.099998474121094,0.0,1.7000007629394531,0.0,1.7000007629394531
Greece,GRC,174,2007,Export,44.599998474121094,52.900001525878906,0.0,2.5,0.0,2.5
Greece,GRC,174,2007,Import,42.29999923706055,56.099998474121094,0.0,1.6000022888183594,0.0,1.6000022888183594
Greece,GRC,174,2008,Export,49.099998474121094,49.20000076293945,0.0,1.7000007629394531,0.0,1.7000007629394531
Greece,GRC,174,2008,Import,40.79999923706055,57.599998474121094,0.0,1.6000022888183594,0.0,1.6000022888183594
Greece,GRC,174,2009,Export,42.900001525878906,55.599998474121094,0.0,1.5,0.0,1.5
Greece,GRC,174,2009,Import,39.20000076293945,59.099998474121094,0.0,1.7000007629394531,0.0,1.7000007629394531
Greece,GRC,174,2010,Export,49.29999923706055,49.29999923706055,0.0,1.4000015258789062,0.0,1.4000015258789062
Greece,GRC,174,2010,Import,48.20000076293945,50.70000076293945,0.0,1.0999984741210938,0.0,1.0999984741210938
Greece,GRC,174,2011,Export,46.5,52.5,0.0,1.0,0.0,1.0
Greece,GRC,174,2011,Import,49.900001525878906,49.29999923706055,0.0,0.7999992370605469,0.0,0.7999992370605469
Greece,GRC,174,2012,Export,51.099998474121094,47.70000076293945,0.0,1.2000007629394531,0.0,1.2000007629394531
Greece,GRC,174,2012,Import,57.20000076293945,42.20000076293945,0.0,0.5999984741210938,0.0,0.5999984741210938
Greece,GRC,174,2013,Export,51.0,47.79999923706055,0.0,1.2000007629394531,0.0,1.2000007629394531
Greece,GRC,174,2013,Import,56.599998474121094,42.599998474121094,0.0,0.8000030517578125,0.0,0.8000030517578125
Greece,GRC,174,2014,Export,50.099998474121094,48.70000076293945,0.0,1.2000007629394531,0.0,1.2000007629394531
Greece,GRC,174,2014,Import,56.599998474121094,42.599998474121094,0.0,0.8000030517578125,0.0,0.8000030517578125
Greece,GRC,174,2015,Export,43.44889450073242,55.30231857299805,0.0,1.2487869262695312,0.0,1.2487869262695312
Greece,GRC,174,2015,Import,50.8161735534668,48.26979064941406,0.0,0.9140357971191406,0.0,0.9140357971191406
Greece,GRC,174,2016,Export,41.4344367980957,57.37282943725586,0.0,1.1927337646484375,0.0,1.1927337646484375
Greece,GRC,174,2016,Import,47.82829284667969,51.35771942138672,0.0,0.8139877319335938,0.0,0.8139877319335938
Greece,GRC,174,2017,Export,43.94171142578125,54.72524642944336,0.0,1.3330421447753906,0.0,1.3330421447753906
Greece,GRC,174,2017,Import,50.57167434692383,48.65599060058594,0.0,0.7723350524902344,0.0,0.7723350524902344
Greece,GRC,174,2018,Export,46.46289825439453,52.20522689819336,0.0,1.3318748474121094,0.0,1.3318748474121094
Greece,GRC,174,2018,Import,54.05647277832031,45.210670471191406,0.0,0.7328567504882812,0.0,0.7328567504882812
Greece,GRC,174,2019,Export,41.36863327026367,57.01162338256836,0.0,1.6197433471679688,0.0,1.6197433471679688
Greece,GRC,174,2019,Import,53.49807357788086,45.64571762084961,0.0,0.8562088012695312,0.0,0.8562088012695312
Guyana,GUY,336,2019,Import,88.04442360100376,0.5968366435668172,10.383775164985272,0.9749645904441593,0.0,11.358739852905273
Hungary,HUN,944,1992,Export,37.5,52.400001525878906,,10.099998474121094,0.0,10.099998474121094
Hungary,HUN,944,1992,Import,33.79999923706055,53.29999923706055,,12.900001525878906,0.0,12.900001525878906
Hungary,HUN,944,1993,Export,40.29999923706055,50.599998474121094,,9.10000228881836,0.0,9.10000228881836
Hungary,HUN,944,1993,Import,40.099998474121094,48.29999923706055,,11.60000228881836,0.0,11.60000228881836
Hungary,HUN,944,1994,Export,34.29999923706055,55.20000076293945,,10.5,0.0,10.5
Hungary,HUN,944,1994,Import,34.29999923706055,53.5,,12.200000762939453,0.0,12.200000762939453
Hungary,HUN,944,1995,Export,31.0,59.599998474121094,,9.400001525878906,0.0,9.400001525878906
Hungary,HUN,944,1995,Import,33.099998474121094,55.20000076293945,,11.700000762939453,0.0,11.700000762939453
Hungary,HUN,944,1996,Export,27.399999618530273,62.599998474121094,,10.000001907348633,0.0,10.000001907348633
Hungary,HUN,944,1996,Import,32.900001525878906,55.79999923706055,,11.299999237060547,0.0,11.299999237060547
Hungary,HUN,944,1997,Export,28.700000762939453,60.5,,10.799999237060547,0.0,10.799999237060547
